wallet,label,group,token_address,opening_tx_hash,closing_tx_hash,open_timestamp,close_timestamp,close_day,holding_duration_seconds,holding_time_bucket,quantity_matched,cost_basis_usd,cost_basis_bucket,proceeds_usd,realized_pnl_usd,outcome,prior_trade_outcome
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,6LdwhVdpLSMLWs9VfEefUQWmtdk3MXJwcDWe4Dqfpump,DtMWKhh6V5GCQKfQhCfNUcDMY4hwUoXmTCAuTtHd4QycKUbLSggSNgfypkdAdYiFiNeyDiKNFXrXckaS2F87zEj,3RVnFN4ZPQsznr2EQAJAmtgpTbtZk2eZhGNgNxet6H9Rwvkt8GUAt9aEXZD8hVk5qswsveBsD9Tu5Qc6x4dFHJaF,2026-02-09T20:41:08+00:00,2026-02-09T20:43:31+00:00,2026-02-09,143,1m_to_lt_5m,470575.864002,10.70000592640000000000000000,10_to_lt_25_usd,1.776864728450000000000000000,-8.923141197950000000000000000,loss,
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,24HqqUJLosxXeYGuzVTmiDcFcj554cDQUPJqXC6tpump,38Gy6Z3Aov7Qb8tiweowAWWGP68f9zazSxtZPpJb3NwBabY1AmHEHKPvHRRu9aDUQXfMacaYh79NH14P3NT7qyN7,23qDLUo7G8HYXTEBXV5FyUEpzJVpc4wnvnXvzc2haymYxBfUM4LuLywGmZBwvkEJFiR3xBupginE3x3rSPxs4wGL,2026-02-09T20:52:41+00:00,2026-02-09T20:52:51+00:00,2026-02-09,10,lt_30s,1074912.026834,30.87157985280000000000000000,25_to_lt_100_usd,20.74604416974000000000000000,-10.12553568306000000000000000,loss,loss
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,3FcbiTV2fgFHrQtPV91hderYtw5gtDthg5gy9MJ1pump,33hWjxkH4bQFXWZAmK8wTmVJ4mhGoakFWYHKmPMr32XvtM62BnQgjdk39qCE7kHXaHCpZdy2iAQup9VXYLbAvstX,5rBimHyCwLDv5JhWJryni9YUqFzCurxbudMgh8xoPAQzNcjdVbFkL7cD12BG1YJSpaC8dHQt7dHqi9oD2FtB2H1W,2026-02-09T21:17:04+00:00,2026-02-09T21:17:38+00:00,2026-02-09,34,30s_to_lt_60s,333436.201045,17.64575370240000000000000000,10_to_lt_25_usd,6.708646890960000000000000000,-10.93710681144000000000000000,loss,loss
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,Fs3GrN3xc8iC5iCPzGXVv7TJfYSRVq1joamAvq6Cpump,23A8rYCU1NKUHvPV8CncX2C8PVWhUZDurQVH723unDSDmgmKKWZwAjg5skkxqm4r1ZrCrQvMBEwNVH1pjAKEfSKh,5GDXnKwKhtmyhUTk14tjSEVoc24dNrcDb2v8vsxyY8gGsbv59n529zQVQ7Kiyj3fBqft26fZ3DZKun8TkLSx49hF,2026-02-09T21:22:03+00:00,2026-02-09T21:23:00+00:00,2026-02-09,57,30s_to_lt_60s,366076.508834,17.64575370240000000000000000,10_to_lt_25_usd,11.44535644452000000000000000,-6.20039725788000000000000000,loss,loss
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,HFFh7qj91EVcS5AbBDYeahg7utP4Xgo8tpZjm8vsBAGS,21hL4zZPN2Tz8BpSZPNsW5HSZRwYmHiCNsdYNbYiq7NZ9yZvsRKg76czBDuBsx8Zib41nNorfLVsdRCjGmuiRGf3,UtPPCyR5Yh5mzss1Y4ruFeK27P7QhjhyQXKkQQhDg8cUEQZdmZkVJVbCzPCr1w3W8JXkp8F93MCSviE6Hea9Pge,2026-02-09T21:00:25+00:00,2026-02-09T21:23:18+00:00,2026-02-09,1373,5m_to_lt_1h,608454.885656436,17.73974321280000000000000000,10_to_lt_25_usd,30.76355962084000000000000000,13.02381640804000000000000000,win,loss
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,2t4EwQVz8f5qzxUBbY4ifDhBCKBKgr6nf2caPG3FRiSE,5YzXDb9UerudSHE5zU2Gr6CqwUXtRRn4xs6RXo7us3XQK2komBy8Pqh5RF3NhFn2kkmtG8ijvKYuS1rhFCBvE7uE,54CV3rLHJuu6aZmDCqBbWWHcKeNkUJxRUNGqYV5nMhapHMECBvCNXqRgdZekLoDc9eAELDb154Ve6wayGoCAztaD,2026-02-09T22:26:35+00:00,2026-02-09T22:28:51+00:00,2026-02-09,136,1m_to_lt_5m,174320.174695,30.66428850240000000000000000,25_to_lt_100_usd,22.66458324906000000000000000,-7.99970525334000000000000000,loss,win
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,FCSBSnydDwwsfhmN3LjL6oXX1Khki4yVod7v8oT5pump,5GWWSQkf44H8LmYnTso2PVirxp3kFg23fcKF3CqC1yqDPgRy983nBt7NPsrz57PQodo3iZTTy9mTgEaVAqW9b3L6,futy5ZyggDs4u6Ufw9vCAmJWkMyDVVH1jc8zp95fYpx8kRAF8R7PPVLbt7EacjGu6qCyYhFwpcF2ykTfpSzwu6y,2026-02-09T22:42:17+00:00,2026-02-09T22:45:10+00:00,2026-02-09,173,1m_to_lt_5m,692160.121709,17.60936236800000000000000000,10_to_lt_25_usd,14.02573528914000000000000000,-3.58362707886000000000000000,loss,loss
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,HFHMybtPneaeEMrgyuzNLhrxtUBV3MyUqJBr8sc8pump,5yCgHBrmvS9fWY3Uvf7TUg3VFVB3WgceefryJFFpvNvC4j7Goz1jbPfvysMJMw4FWU3k9WZ43THy5PcnfyUrrXdJ,5QY9zHvxPiucroLKRzr1JnBso5tp1a1rDY8xgPHQbf6o8xtEbvgdLkDwWp1RfQ5sTzxrNMrwJPYsY511iCy87RER,2026-02-09T21:37:23+00:00,2026-02-09T23:07:29+00:00,2026-02-09,5406,1h_to_lt_24h,143194.096934,30.48771010559999999999999999,25_to_lt_100_usd,20.21686453777944715378874331,-10.27084556782055284621125668,loss,loss
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,HFHMybtPneaeEMrgyuzNLhrxtUBV3MyUqJBr8sc8pump,59XCgcXbBox4g9SrtaopPx5nLEPunmocwkctLCVCUZQ1H7oach8KVM9pWDwyCEaNQC4JuXpnqd3fmo1XLougknqe,5QY9zHvxPiucroLKRzr1JnBso5tp1a1rDY8xgPHQbf6o8xtEbvgdLkDwWp1RfQ5sTzxrNMrwJPYsY511iCy87RER,2026-02-09T21:41:07+00:00,2026-02-09T23:07:29+00:00,2026-02-09,5182,1h_to_lt_24h,58605.820201,17.35267200000000000000000000,10_to_lt_25_usd,8.274265165240552846211256699,-9.078406834759447153788743301,loss,loss
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,GHPSby2g1XRgf5TRG3RPE8Z3ARDRn2SUfB6XeQBTbonk,456adzBvhr8ostXwqmMqvr72duTPt5JoQnB99eVLH12oDZ4HqPj1pbkYMhDH7AP2A65t5LBpu8qUrwLRqb187Zou,RzPqE8fy5o3em41YxguAYGk3omrfDqHAGoRQSHbSuzaavFntNAx12uE6viAFNoUqYKdZFqu4QaZqS4LYACFPJyA,2026-02-09T23:05:09+00:00,2026-02-09T23:14:03+00:00,2026-02-09,534,5m_to_lt_1h,32911.014728,17.61643825200000000000000000,10_to_lt_25_usd,9.021953021420000000000000000,-8.594485230580000000000000000,loss,loss
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,5y5EG74XyAQwBmYJsYp6Wt7tMqdEFRBa5xJTMNW4BAGS,57zxqFBZapz73t4K4RADq32spGsEsZcexrQrdRdCXp5pwZ1CUBYZViEdQqV4xTXm5iUhR6FaBkrdm3hk48VjM9sD,4q3maJCu5bEREci6VZTjB3ZJ3LJYdqgF4prf6yTjZxuQ9Ujf9Hs6cUHVWh8mRdjLf1PE2kBNh28xnwSGhxS2fkjT,2026-02-10T07:02:18+00:00,2026-02-10T07:04:43+00:00,2026-02-10,145,1m_to_lt_5m,287325.703210216,17.13534676560000000000000000,10_to_lt_25_usd,12.89685952513000000000000000,-4.23848724047000000000000000,loss,loss
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,5y5EG74XyAQwBmYJsYp6Wt7tMqdEFRBa5xJTMNW4BAGS,5JcegYTf3MLvduRFq1DADiAogKELa4JwBnDa8ti7SeRUSbhfaJhPyz94uY71SfpiMvmwQpEDzSJYZrTuAKjKhtra,2yPT3WRM1sZ2k5u4GmTXG2baUwmkUwgTzwBisTHrpiMCLibzk8ypZc2KmaR3rRtiGFRyXP3PAJh8jfC4rfjKYYip,2026-02-10T07:05:19+00:00,2026-02-10T07:39:48+00:00,2026-02-10,2069,5m_to_lt_1h,286839.391953281,17.00049600000000000000000000,10_to_lt_25_usd,15.93815110153000000000000000,-1.06234489847000000000000000,loss,loss
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,8Ak4jBMfwdBxvze3DgDcieEBZCP2xjNxrTCfggmkpump,MEgWrHiKzo1Jt4rDs7SwVo72pxQoyzZsdzPgD3YBDFTdc132qmQqF5NpoModygUaMz5n5orw7vpMx688WaVn8qB,3BTENsSr3TRf3X8dBS62mgnZas7tVpUvh5RFBGsWVqfKNuoZkp6RPfP3dNfoZcvVq8fHLQ5A9ZzBRYtaiLhNRxJf,2026-03-20T06:48:17+00:00,2026-03-20T14:41:21+00:00,2026-03-20,28384,1h_to_lt_24h,485591.417362,49.99999999999999999999999999,25_to_lt_100_usd,35.70264400000000000000000000,-14.29735599999999999999999999,loss,
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,4d7hkcY3MGAmYRi1vYNaDwi9C5Sfvdi4FqWCiLhtpump,drgfTqeGCN2gvfiFgUQez5SNeYq489pNgk52TrzHVtMFH7kgFgimueXYnERyreTysimhELNJTLPj4gN5dTQa2Tf,4G5sCsuKrVFMUGcm57VWLeAdmuKEjNrEDD29qAutToEanisM56M3rHaTqNKjrA7MEGVngSYjuQTgrScwzeXHepAV,2026-03-20T14:49:59+00:00,2026-03-20T17:48:27+00:00,2026-03-20,10708,1h_to_lt_24h,258353.487163,35.70264399999999999999999999,25_to_lt_100_usd,32.63852000000000000000000001,-3.06412399999999999999999998,loss,loss
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,37zU3QVYPU4mQAQ4MtbPm13BkSKQZXbkAsN8Fp2H3NqgghiAzgh66hwhBW2HbCcxxu9FW7Xa5tM6GUvtVEqD1xQF,39oaryTD2D25gXKDybwzTVWXhB4nPctBup9ZeALHUT3cNBhyWiwDgU6PZXtEahmfstt6iz5wsLT3tHDdDBg5qWdk,2026-03-21T10:13:58+00:00,2026-03-21T10:14:09+00:00,2026-03-21,11,lt_30s,15.818975,15.818975,10_to_lt_25_usd,15.818975,0.000000,flat,loss
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4ZdHnkQTUtMB18dgTf4gXVy2xeSknKBVqF7vHVSi1ZeNKZaSpDAgPyQ59BbfTikrG5JgWeJWpYE1QoGnFMXb9ahy,zmnYTBvmyYvMcNid1CotkFDvtNy7oU23KpRALsuALQ81PxUdPx1ZeLuP7fjSUtAQTcF2ZyRvFWqEBegoSUoCHv9,2026-03-22T08:42:34+00:00,2026-03-22T08:42:52+00:00,2026-03-22,18,lt_30s,35.000000,35.000000,25_to_lt_100_usd,35.000000,0.000000,flat,
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4ZdHnkQTUtMB18dgTf4gXVy2xeSknKBVqF7vHVSi1ZeNKZaSpDAgPyQ59BbfTikrG5JgWeJWpYE1QoGnFMXb9ahy,3jkv3BTdWjf1rk9QGHNbTbKoGwyUgaEbp9Gkin7wLkXEyDaLdKH7FbBApuc9m55YHWHLqcaWfv8K7YgB3mNMUJ5i,2026-03-22T08:42:34+00:00,2026-03-22T09:13:25+00:00,2026-03-22,1851,5m_to_lt_1h,15.549832,15.549832,10_to_lt_25_usd,15.549832,0.000000,flat,
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4ZdHnkQTUtMB18dgTf4gXVy2xeSknKBVqF7vHVSi1ZeNKZaSpDAgPyQ59BbfTikrG5JgWeJWpYE1QoGnFMXb9ahy,2Ay2w18k4rpnZBeYKQgJsGAsdDUwqAbtU1nwXSuX1sgjsCmKGEdspzCaPEtuJDtzDZkDqcsoz86Y8KXdiJRKERfc,2026-03-22T08:42:34+00:00,2026-03-23T01:46:08+00:00,2026-03-23,61414,1h_to_lt_24h,15.000000,15.000000,10_to_lt_25_usd,15.000000,0.000000,flat,
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,56btRVJxPLQyJ4TZQigWajPsCqXgMPtM3NWZ3gazPyioggexoHKgU7UqiexKbN897SNNjrW5qYUANsCVNy4eDT4a,2Ay2w18k4rpnZBeYKQgJsGAsdDUwqAbtU1nwXSuX1sgjsCmKGEdspzCaPEtuJDtzDZkDqcsoz86Y8KXdiJRKERfc,2026-03-23T01:44:52+00:00,2026-03-23T01:46:08+00:00,2026-03-23,76,1m_to_lt_5m,35.000000,35.000000,25_to_lt_100_usd,35.000000,0.000000,flat,
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,56btRVJxPLQyJ4TZQigWajPsCqXgMPtM3NWZ3gazPyioggexoHKgU7UqiexKbN897SNNjrW5qYUANsCVNy4eDT4a,2gKDagJhkDRCx2PNphLxN1mraP6mE4TTBaKQUG7XXC3WjCLTeswZ7CCuC4zPoFcerngzVHFg8saicj7Ew4hbGeou,2026-03-23T01:44:52+00:00,2026-03-23T01:47:08+00:00,2026-03-23,136,1m_to_lt_5m,43.938841,43.938841,25_to_lt_100_usd,43.938841,0.000000,flat,
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,56btRVJxPLQyJ4TZQigWajPsCqXgMPtM3NWZ3gazPyioggexoHKgU7UqiexKbN897SNNjrW5qYUANsCVNy4eDT4a,3rFms147dzMEXsvxYkBjGStvHcPmBFDWtjP4A5yr7wm48cooAFBeaksKqwLHQKuXRBF5i68SM5Y7rKCm1jzthn6A,2026-03-23T01:44:52+00:00,2026-03-23T01:51:49+00:00,2026-03-23,417,5m_to_lt_1h,15.000000,15.000000,10_to_lt_25_usd,15.000000,0.000000,flat,
